official_name,operating_club,hut_id,latitude,longitude,elevation_m,email,phone_number,official_website_url,capacity_beds,source_url,reservation_id
Grünhornhütte SAC,SAC,2147000126,46.81050214162548,8.941374353894444,2448,,,http://www.sac-toedi.ch,0,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000126,
Guggihütte SAC,SAC,2147000128,46.56274650844253,7.97439946494065,2791,guggihuette@sac-interlaken.ch,,http://www.sac-interlaken.ch,24,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000128,
Heftihütte,SAC,2147000130,46.85084408337151,7.981724374420466,1904,,,http://www.sac-emmental.ch,12,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000130,
Hohganthütte,SAC,2147000133,46.78547,7.90609,1805,hohganthuette@sac-emmental.ch,+41 76 408 54 50,http://www.sac-emmental.ch/hohganthuette/,24,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000133,24
Jurahaus,SAC,2147469225,47.160745197326456,7.157861438161992,1320,reservation@jurahaus-sac.ch,,https://www.jurahaus-sac.ch,35,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147469225,
Kistenpasshütte,SAC,2147000141,46.840441131746466,9.029402713286437,2714,,,http://www.kistenpasshuette.ch,16,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000141,
Lämmerenhütte SAC,SAC,2147000145,46.40029620305451,7.574516600148034,2507,info@laemmerenhuette.ch,,https://www.laemmeren.ch/,96,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000145,
Länta-Hütte SAC,SAC,2147000147,46.54155588176615,9.041741803171636,2090,info@laentahutette.ch,,http://www.laentahuette.ch,30,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000147,
Lauteraarhütte SAC,SAC,2147000148,46.57003531015104,8.222308365945011,2393,lauteraar@sac-zofingen.ch,,http://www.lauteraarhuette.ch,28,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000148,
Leutschachhütte SAC,SAC,2147000153,46.783602365466464,8.601145646329524,2208,furrer_andreaaa@gmx.ch,,http://www.leutschachhuette.ch,60,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000153,
Lohnerhütte SAC,SAC,2147000157,46.47456722786203,7.599702341022783,2171,grabemattli@gmail.com,,http://www.sac-wildstrubel.ch,18,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000157,
Martinsmadhütte SAC,SAC,2147000167,46.8926450857446,9.188313801761202,2002,info@martinsmadhuette.ch,,http://www.martinsmadhuette.ch,40,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000167,615
Mutthornhütte SAC,SAC,2147000187,46.486554,7.829508,2788,info@mutthornhuette.ch,+41338531344,http://www.mutthornhuette.ch,60,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000187,14
Planurahütte SAC,SAC,2147000207,46.82001420113037,8.880432739456106,2947,info@planurahuette.ch,,http://www.planurahuette.ch,41,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000207,
Ringelspitzhütte SAC,SAC,2147000218,46.865785157467315,9.380813365669814,1998,info@ringelspitzhuette.ch,,http://www.ringelspitzhuette.ch,36,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000218,
Rosenlauibiwak SAC,SAC,2147000220,46.65909844867396,8.167679082351222,2330,biwak@dossenhuette.ch,,https://dossenhuette.ch/#rosenlauibiwak,10,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000220,
Rottalhütte SAC,SAC,2147000226,46.52604468597215,7.944711590242324,2755,rottalhuette@sac-interlaken.ch,,http://www.sac-interlaken.ch/index.php/huetten/rottalhuette,28,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000226,
Salbitschijenbiwak SAC,SAC,2147000230,46.67614749717253,8.523676878908017,2400,salbit@sac-mythen.ch,,https://sac-mythen.ch/unsere-huetten,10,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000230,559
Sardonahütte SAC,SAC,2147000234,46.91548356434636,9.275458481694724,2158,jaeger.beat@bluewin.ch,,http://www.sardonahuette.ch,44,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000234,
Schräawislihütte,SAC,2147000242,46.919904677853246,9.329977071902329,1732,,,https://www.sac-piz-sol.ch/sac-webapp/huetten,8,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000242,
Seetalhütte SAC,SAC,2147000246,46.8739,10.0093,2065,info@seetalhuette.ch,+41765458282,https://www.sac-praettigau.ch/index.php/huetten/seetalhuette,10,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000246,242
Silberhornhütte SAC,SAC,2147000249,46.548987925175055,7.933582306211974,2663,,,http://www.sac-lauterbrunnen.ch,10,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000249,515
Solvaybiwak SAC,SAC,2147000252,45.97862339198917,7.663014151150061,4003,,,https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/2147000252/,0,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000252,
Spitzmeilenhütte SAC,SAC,2147000256,47.034288127392834,9.250575750295917,2087,info@spitzmeilenhuette.ch,,http://www.spitzmeilenhuette.ch,50,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000256,
Stockhornbiwak SAC,SAC,2147000258,46.377385314208986,7.88106828139595,2598,,,http://www.stockhornbiwak.ch,18,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000258,527
Sunnehüsi,SAC,2147448785,46.643720,7.446150,1125,sunnehuesi@sac-bluemlisalp.ch,+41 78 836 96 49,http://www.sac-sunnehuesi.ch/,15,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147448785,326
Sustlihütte SAC,SAC,2147000262,46.75163133069784,8.470799017612562,2257,info@sustlihuette.ch,,http://www.sustlihuette.ch,67,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000262,
Tanzbodenhütte,SAC,2140485008,47.22010788989732,9.105935964440379,1441,tanzboden@sac-pfannenstiel.ch,,https://www.sac-pfannenstiel.ch/huetten/tanzbodenhuette,17,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2140485008,
Treschhütte SAC,SAC,2147000274,46.71860447283968,8.64945304486683,1475,info@treschhuette.ch,,http://www.treschhuette.ch,32,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000274,688
Trifthütte SAC,SAC,2147000277,46.674023,8.371172,2420,info@trifthuette.ch,+41 33 975 12 28,https://www.trifthuette.ch,62,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000277,28
Weisshornhütte SAC,SAC,2147000290,46.08602025719224,7.7434799165374,2932,annetteflorence@icloud.com,,http://www.sac-basel.ch/huetten/weisshornhuette,31,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000290,
Chalet du CAF Contamines,CAF,30941606,45.8168426,6.7249451,1164,,,,,OSM,
Gippelhütte,Hasler Anita,33519409,47.7945148,15.588133,1499,,+43 664 2120061,http://www.staegyd.at/Gippelhuette_1500_m_Seehoehe,,OSM,
Štuhecov dom,,59264046,46.4375022,15.4600805,1181,,,,,OSM,
Almgasthof Buchacker,,95823780,47.533232,12.0188688,1318.0,buchackeralm@gmail.com,+4369912358598,,,OSM,
Naturfreundehütte Vinzenz Biedner,,206371649,46.865575,12.8092344,1809,,,https://vinzenz-biednerhuette.naturfreunde.at/,19,OSM,
Refuge Le Monal,,249831619,45.5543571,6.9216426,1869.0,refugelemonal@gmail.com,+33607382469,https://www.refugedumonal.com/,,OSM,
Rauhekopfhütte,Alpenverein Frankfurt am Main,250068427,46.8699958,10.7630878,2731,info@rauhekopfhuette.at,,https://www.rauhekopfhuette.at/,,OSM,
Mischabelhütte,Akademischer Alpen-Club Zürich,251403227,46.1094153,7.8888023,3340,mischabelhuette@gmx.ch,+41 27 957 13 17,https://www.mischabelhuette.ch/,120,OSM,420
Purtschellerhaus,DAV Sektion Sonneberg,254546886,47.6095206,13.0716402,1692,,+4986522420,https://www.purtschellerhaus.de/,,OSM,
Techendorfer Alm,,260133307,46.7229985,13.4039732,1573,,,,,OSM,
Rifugio Sant'Anna,,264130866,46.1051958,8.8147565,1342,,,,,OSM,
Capanna Piandios,Sci Club Crap,270447880,46.4814914,8.884226,1875,banchinisimone@dcom.ch,+41 76 400 03 01,http://www.sciclubcrap.ch/index.php/capanna,35,OSM,
Baraque de Bonnant,,272864187,45.2644796,6.4349229,1700,,,,,OSM,
Hochberghaus,,276593145,47.8366199,13.9915871,1125.0,,,https://www.hochberghaus.at/,,OSM,
Doris Fleißkuchl,,278013256,47.0517509,12.8713768,1801.0,,+43 664 5078069,,,OSM,
Kärlinger Haus,DAV Sektion Berchtesgaden,278226693,47.495556,12.937222,1631,,+4986526019901,https://www.kaerlingerhaus.de,160,OSM,195
Chalet Refuge du Pré de Madame Carle,,279452438,44.9177196,6.4156203,1882.0,,,https://www.pre-madame-carle.fr/,,OSM,
Sistranser Alm,,279584189,47.2218538,11.4669064,1609,,+43 699 100 18 948,https://www.sistranseralm.at/,,OSM,
Eppzirler Alm,,280889033,47.331048,11.267244,1455,,+436649379033,https://www.eppzirleralm.at/,,OSM,
Kaiserkogelhütte,Österreichischer Touristenklub,281022622,48.059729,15.5402134,716,,,,,OSM,
Wildeben,,281811874,47.1253893,11.3572701,1780,,,https://www.wildeben.info/,,OSM,
Berggasthaus Gumen,,283105123,46.9562198,8.9848057,1935.0,,,https://gumen.ch/,,OSM,
Baita dell'Alpino,private,286290910,46.260541,11.5986885,1594,,,,,OSM,
Refuge des Mottets,,288877825,45.7371405,6.7790439,1870,,,,,OSM,
Berghaus Schwaben,,292047294,47.4610918,10.1846714,1513,,+49 832 438,https://www.berghaus-schwaben.de/,,OSM,
Larcher Alm,,292735628,47.1570626,10.6948901,1814,,,,,OSM,
Galflun Alm,,292735632,47.1491242,10.6842738,1960,,,,,OSM,
Bayreuther Hütte,,292919704,47.444722,11.820833,1576,,00436643425103,https://www.bayreuther-huette.de,54,OSM,201
Dammkarhütte,,293246279,47.4373796,11.3088936,1650,,+4988233826,http://www.dammkarhuette.de/,,OSM,
Berggasthaus Trift,Familie Hugo und Fabienne Biner,294171060,46.0300393,7.7210708,2337,,+41 79 408 70 20,http://www.zermatt.ch/trift,48,OSM,
Seducker Hochalm,,294758495,47.1151963,11.2101032,2250,,,,,OSM,
Peeralm,,296010554,47.1512237,11.5595653,1663,,,,,OSM,
Brunnsteinhütte,DAV Sektion Mittenwald,296163774,47.4137026,11.2785584,1560,,,,,OSM,
Roaner Alm,,297298270,46.8818854,12.8391279,1900,,,,,OSM,
Häuslalm,,298231625,47.2205343,12.698529,1979.0,,,,,OSM,
Unterbergalm,,298232764,47.2528711,12.7021482,1533.0,,,,,OSM,
Lyfialm - Malga Lifi,,298467485,46.5037984,10.7029948,2196.0,,,,,OSM,
Rifugio Ghedina,,299927723,46.1158602,10.8085216,1137.0,,+39 0465 321808,https://www.trentinorifugi.com/index.php?bsclef=schede_rifugi&ex=html&viewnews=ok&ln=it&id=76&catid=6,,OSM,
Alpe e Rifugio Legnone,ProLoco Delebio,300524772,46.1078796,9.4360824,1689.0,,+393395005056,,,OSM,
Lienzer Hütte,,301000243,46.9348077,12.7465478,1980,,,,87,OSM,
Elberfelder Hütte,,301262877,46.977887,12.7604244,2346,,+43 4824 2545,https://elberfelderhuette.com,59,OSM,650
Cabane de Mille,,302898492,46.0136689,7.2065712,2473,,+41 27 783 11 82,https://www.cabanedemille.ch,40,OSM,
Koča na Pesku,,303847394,46.4672016,15.3439495,1382,,,,,OSM,
Scheibenwaldhütte,,305860388,47.640437,12.4240651,1140,,+43 5375 6053,https://www.scheibenwald.com/,,OSM,
Koča pod Kremžarjevim vrhom,,309010898,46.5281486,15.1285496,1102,,,,,OSM,
Cabane Brunet,,309750964,46.0303392,7.274198,2104,info@cabanebrunet.ch,+41 27 778 18 10,https://www.cabanebrunet.ch/,56,OSM,
Cabane de Valsorey,,309753126,45.930778,7.271748,3037,info@valsorey.ch,+41 27 787 11 22,https://www.valsorey.ch,50,OSM,400
Cabane du Vélan,CAS Bourg-Saint-Pierre,309753131,45.9169357,7.2454615,2642,info@velan.ch,+41 27 787 13 13,https://www.velan.ch/,62,OSM,
Cabane FXB Panossière,,309753135,45.9987224,7.2997576,2641,info@panossiere.ch,+41 27 771 33 22,http://www.panossiere.ch,75,OSM,
Cabane de Saleinaz CAS,CAS Section Neuchâteloise,309757022,45.976355,7.070281,2691,saleinaz@cas-neuchatel.ch,+41277831700,https://www.cas-neuchatel.ch/cabanes/cabane-de-saleinaz-2691m/,48,OSM,382
Cabane de Bertol CAS,SAC - CAS Section Neuchateloise,309758417,46.0060198,7.5276735,3311,bertol@cas-neuchatel.ch,+41 27 283 19 29,http://www.bertol.ch,80,OSM,
Cabane Mont Fort,,309759750,46.0835573,7.2810532,2457,booking@cabanemontfort.com,+41 77 269 45 27,https://cabanemontfort.com/,58,OSM,
Nassereither Alm (Muthenaualm),,309897705,47.3417334,10.844933,1734,,,https://www.nassereither-alm.at/,,OSM,
Britanniahütte,,316985701,46.060106,7.93507,3030,hello@britannia.ch,+41 27 957 22 88,http://www.britannia.ch,101,OSM,9
Rifugio Campolongo,,323218389,45.8974017,11.3927132,1541,,+39 0424 66487,,,OSM,
Holzerhütte,,325196560,47.1706692,13.9689639,1578.0,,,,,OSM,
Reitlehenalm,,330068507,47.4018291,13.4147012,1260.0,,,,,OSM,
Unterbuchstein,,330073536,47.4081122,13.4126103,1231.0,,,,,OSM,
Spielberghaus,,338818543,47.4165518,12.6199218,1320,,,,,OSM,
Mittenwalder Hütte,DAV Sektion Mittenwald,340560279,47.4338329,11.2823729,1518,,,,,OSM,
Refuge des Feneys,,350736546,45.189318,5.5846386,1524.0,,,,,OSM,
Rifugio del Misérin,Parrocchia di Champorcher,353049715,45.6027461,7.5214985,2582,lago.miserin@gmail.com,+39 340 9014630,https://www.miserinespritlibre.it/,40,OSM,
Rifugio Barbustel,Club Alpino Italiano,353049719,45.6491892,7.5884154,2132,,,,,OSM,
Rifugio Gabiet,,353049747,45.8543498,7.8496032,2370,,,,,OSM,
Orestes Hütte,,353049753,45.8743718,7.8500386,2625,,,,,OSM,
Rifugio Alpenzu Grande,Club Alpino Italiano,353049771,45.7991516,7.8161253,1779,,,http://www.rifugioalpenzu.it/,,OSM,
Rifugio Arp,private,353049781,45.7872819,7.7771534,2439,,,,100,OSM,
Rifugio Ottorino Mezzalama,CAI sezione di Torino,353049783,45.9137046,7.7594328,3036,,,,36,OSM,
Rifugio Guide d'Ayas,Soc. Guide di Champoluc-Ayas,353049786,45.9206025,7.7671383,3388,,+39 0125 308083,http://guidechampoluc.com/il-rifugio/,85,OSM,
Rifugio Vieux Crest,private,353049798,45.8333523,7.7392614,1934,,,http://www.refugevieuxcrest.com/,40,OSM,
Rifugio G.B. Ferraro,private,353049800,45.866023,7.7398828,2077,,,https://www.rifugioferraro.com/,26,OSM,
Rifugio Guide di Frachey,,353049803,45.8657804,7.7393751,2072,,,,40,OSM,
Rifugio L'Ermitage,private,353049806,45.8417512,7.6168909,1922,,,,36,OSM,
Rifugio Grand Tournalin,private,353049808,45.8585089,7.6938018,2550,,,https://www.rifugiograndtournalin.com/en/,40,OSM,
Rifugio Jean Barmasse,private,353049817,45.8766866,7.5933535,2165,,,https://www.rifugiocuney.it/it/il-rifugio-barmasse/,24,OSM,
Rifugio Prarayer,,353049825,45.921088,7.5329516,2005,,,,50,OSM,
Rifugio Nacamuli al col Collon,,353049828,45.9484535,7.500523,2818,,+39 0165767971,https://www.caitorino.it/rifugi/nacamuli/,,OSM,
Rifugio Aosta,,353049833,45.9695538,7.5614355,2785,,+39 0165 73006,http://www.rifugioaosta.it/,30,OSM,
Rifugio Franco Chiarella all'Amianthe,CAI Sezione di Torino,353049840,45.9102874,7.3046433,2979,,,http://www.refuges.info/point/2339/refuge-garde/Alpes-Pennines-Haut-Valais/,42,OSM,
Rifugio Oratorio di Cuney,,353049844,45.8415305,7.4841751,2655,,,,32,OSM,
Rifugio Crête Sèche,CAI Val d'Aosta,353049847,45.8823253,7.3988665,2391,,,https://www.rifugiocreteseche.eu/,,OSM,
Rifugio Letey-Champillon,Società Hibou di Ronc Silvy & C. SAS,353081755,45.8499376,7.2691816,2465,rifugiochampillon@gmail.com,,https://www.rifugio-champillon.it/,32,OSM,
Refuge de Chaligne / Rifugio Chaligne,,353082192,45.7783558,7.2514865,1939,info@chaligne.com,+39 348 3366924,https://www.chaligne.com,32,OSM,
Rifugio Elena,,353083724,45.8847187,7.0656381,2055,info@rifugioelena.it,+39 0165 844688,,127,OSM,
Rifugio Cesare Dalmazzi,Club Alpino Italiano Sezione di Torino,353084260,45.8938738,7.0405844,2584,,,,,OSM,
Rifugio Gabriele Boccalatte e Mario Piolti,,353084580,45.8530916,6.977363,2806,,,,,OSM,
Rifugio Pavillon,,353084898,45.8291398,6.950815,2174,,,,,OSM,
Rifugio Monte Bianco,,353085969,45.8005845,6.9308894,1680,,,,,OSM,
Rifugio Maison Vieille Bar - Ristorante,,353086852,45.790787,6.9310687,1956,,,https://www.maisonvieille.com/,,OSM,
Höllentaleingangshütte,DAV Sektion Garmisch-Partenkirchen,357482706,47.4483891,11.0444884,1045,,+4988218895,http://www.hoellentalklamm.de/,,OSM,
Labaunalm,,389526819,46.9180291,10.5243619,1980,,,,,OSM,
Adolf-Nossberger-Hütte,Sektion Wiener Lehrer,389785661,46.9540045,12.7810076,2488,,,,50,OSM,
Bernhard-Fest-Hütte,OeAV Sektion Murau,389785715,47.0661548,14.1371632,1980,,,,,OSM,
Bergfriedhütte,Sektion Spittal an der Drau,389785723,46.8901109,13.4663337,1800,,,,,OSM,
Bonn-Matreier-Hütte,Sektion Matrei in Osttirol,389785744,47.0389946,12.4275225,2750,,,,,OSM,
Dr. Widder-Jugendherberge,Alpenverein Klagenfurt,389785776,46.9489952,13.0275992,1770,,,,,OSM,
E.T.-Compton-Hütte,OeAV Sektion Austria,389785790,46.696417,13.157283,1585,,,,,OSM,
Edelrautehütte,Sektion Austria,389785804,47.4391404,14.4328057,1725,,,,,OSM,
Fraganter Schutzhaus,Alpenverein Klagenfurt,389785876,46.950921,13.027661,1810,,+43 4785 396,https://www.fraganterschutzhaus.at,72,OSM,316
Gerlitzenhütte,Sektion Villach,389785880,46.6961092,13.8869343,1580,,,,,OSM,
Kapunerhütte,ÖAV Sektion Graz,389786039,46.641703,15.2414477,1003,,,https://www.alpenverein.at/kapunerhuette/,,OSM,
Karl-Lechner-Haus,Sektion Stuhlecker,389786044,47.582021,15.7982186,1450,,,https://www.alpenverein.at/karllechnerhaus/,,OSM,
Klagenfurter Hütte,Österreichischer Alpenverein - Sektion Klagenfurt,389786089,46.4468626,14.1830532,1664,,,https://klagenfurter-huette.at/,,OSM,597
Peter-Wiechenthaler-Hütte,ÖAV Sektion Saalfelden,389786192,47.463,12.875,1752,,+43 664 9544822,http://www.wiechenthaler-huette.at,68,OSM,141
Polinikhütte,Sektion Mölltal,389786196,46.909217,13.182667,1873,,,,,OSM,
St. Pöltner Hütte,ÖAV Sektion Sankt Pölten,389786350,47.157556,12.495647,2481,st.poeltnerhuette.reinhold@gmail.com,+43 6562 6265,https://www.alpenverein.at/bonnmatreierhuette/,,OSM,
"Wittgruberhof, Jugendh.",Sektion Weiz,389786502,47.2702953,15.6558544,904,,,,,OSM,
Wildseeloderhaus,Sektion Fieberbrunn,389786524,47.4317967,12.5392215,1854,info@wildseeloderhaus.at,+43 664 3400717,https://www.wildseeloderhaus.at/index.php,,OSM,
Wismeyerhaus,Alpenverein Edelweiß,389786536,47.245783,13.5674,1670,,,,,OSM,
Winklerner Hütte,Sektion Winklern,389786541,46.8776199,12.8438661,1905,,,,,OSM,
Weissbriacher Hütte,OeAV Sektion Hermagor,389786547,46.690667,13.210633,1567,,,,,OSM,
Dr.Otto-Koren-Hütte,OeAV Sektion Köflach,390190224,47.1081601,14.9164166,1560,,,,,OSM,
Martellerhütte - Rifugio Martello,,393892579,46.4696416,10.6730592,2610,,,,,OSM,
Klosterneuburgerhütte,Stefan Oberklammer,394568194,47.265104,14.3786705,1902,office@klosterhuette.at,+43 664 1008364,,,OSM,
Berghaus i.d. Walchen,OeAV Sektion Öblarn,394569680,47.4266298,14.05109,985,,,,,OSM,
Gotschaunalm,,409768525,47.0193263,12.4395371,1945,,,,,OSM,
Furgges Alm,,410315437,47.1640546,11.2213109,1938,,+43 664  4703023,,,OSM,
Almind-Alm,,410575233,47.1684302,11.2023284,1755,,,,,OSM,
Capanna Brogoldone,Associazione Amici Capanna Brogoldone,413544181,46.2628804,9.0633216,1910,,+41 91 829 43 50,https://www.capanneti.ch/,57,OSM,
Schafalm,,413596354,47.1986475,11.2985671,1580,,,,,OSM,
Fahrlechhütte,,416556393,47.2996175,13.6914908,1648,,,https://www.fahrlechhuette.at/,,OSM,
Rifugio Serot,,417322481,46.0734662,11.3881872,1566,info@rifugioserot.eu,,https://www.rifugioserot.eu/,,OSM,
Giglachsee Hütte,,417326835,47.2795539,13.6381195,1955,,,https://www.giglachsee-huette.at/,,OSM,
